,index,Tweet,HS
0,0,lebur dengan semua elemen ganjar gas pool,NON_HATE
1,1,ganjar unggul di buzzerp,NON_HATE
2,2,nak aku pengene pak ganjar di pasangke pak prabowo pak ganjar calon presiden pak prabowo wacapres ken dapat oleh bedo seng penting podo sehat dan tidak boleh hujat,HATE
3,3,aku cah candisari semarang tidak dukung ganjar,NON_HATE
4,4,habib ali gus muhaimin sangat pas jadi calon wakil presiden ganjar prabowo atau anies baswedan,HATE
5,5,lagu pak haji ganjar pranowo sh mip gubernur baik se indonesia provinsi baik se indonesia calon presiden baik ter steril ter bersih di 2024 generasi terus baik di 2024,NON_HATE
6,6,sprinkle magic cupcake latih hias cupcake untuk millenial rabu 18 mei 2023 dpw srikandi ganjar jawa tengah garda perempuan milenial follow us instagram facebook srikandi ganjar jatengg,NON_HATE
7,7,ganjar sudah keluarga kok masih suka tonton begitu umum lagi jaga marwah keluarga saja dulu belum jaga marwah bangsa,HATE
8,8,parah ya ulah dukung ganjar indonesia mau tenggelam,HATE
9,9,jurkamnya ganjar angka survei gantung yang bayar oh oh,NON_HATE
10,10,saya 2014 amp 2019 dukung penuh pak prabowo tetapi hari ini kami akan dukung penuh pak anies mantan gubenurku daerah khusus ibukota jaka a pak prabowo di dorong oleh mereka hanya bagai pecah suara garis lurus saja biar pak ganjar lenggang dengan suara utuh,NON_HATE
11,11,anis najis ganjar menang,HATE
12,12,lihat apa yang diretweet anak ini ini sepe inya sudah kontrak jadi surveyor kubu ganjar kita lihat twit orang ini untuk waktu2 yad benar tidak analisa di atas ada twit dia yang jelek kena ganjar tidak butuh manusia ini ya,NON_HATE
13,13,tak pikir yang jago komunikasi itu om nyata om ganjar lebih jago dan lebih masuk ke dalam utama lebih rileks dan adaptif,NON_HATE
14,14,hubung megawati jokowi renggang begini reaksi ganjar,HATE
15,15,cbong ganjar mati gaya gue harus bilang woooi begitu,NON_HATE
16,16,viral giat rawan ganjar di lampung libat siswa sekolah dasar badan awas pilih umum turun tangan,HATE
17,17,duit ganjar dari mana ya kok tidak habis habis bagi bagi sembako usut dong komisi berantas korupsi,HATE
18,18,saya orang jawa tengah belum pernah lihat ada embung buat ganjar,NON_HATE
19,19,tribun yoyakarta ganjar tegas partai demokrasi indonesia juang makin solid,HATE
20,20,calon presiden ganjar wakil presiden nya erick,HATE
21,21,kalau ganjar jangan di tanya ijazah tetapi tanya uang e kartu tanda duduk mana,NON_HATE
22,22,nampak2nya sandi ke ppp dan usung jadi calon wakil presiden ganjar,NON_HATE
23,23,anies bukan yang baik tapi di antara trio macan prabowo ganjar anies anies masih yang baik,HATE
24,24,kalau ada selain ganjar yang orang jawa pasti menang,NON_HATE
25,25,lah mata po picek ono seng nama bupati memang tugas e harus pak ganjar semua konen mudun itu bupati ini nek ra bisa kerjo nek nyata kwe orang demak kono demo neng bupati ini goblok di pek dewe,HATE
26,26,di depan ganjar rawan jokowi deklarasi dukung untuk pilih presiden 2024,NON_HATE
27,27,calon presiden 2024 ulama dan santri dukung ganjar sowan ke ulama karismatik kh adib di pondok pesantren buntet cirebon ganjar sambut ribu santri,NON_HATE
28,28,rawan jokowi kumpul di senayan deklarasi dukung ganjar di pilih presiden 2024,HATE
29,29,serap aspirasi milenial rawan kenal sosok ganjar di bandung,NON_HATE
30,30,kalau lawan ahok di pilih presiden pasti menang anies bro masalah sekarang lawan ganjar dan prabowo,HATE
31,31,muka gila kamu kemarin psi deklarasi calon presiden ganjar belum partai demokrasi indonesia juang putus bagaimana tidak panjat sosial nama sekarang kaesang kasihan itu anak cuma jadi objek biar psi masuk berita,NON_HATE
32,32,malah mungkin harap ganjar jadi laki,NON_HATE
33,33,semua akan ganjar pada waktu,NON_HATE
34,34,ganjar milenial center kalimantan tengah semangat abdi bangun negeri,NON_HATE
35,35,banget nih aku aku genep tekok ping3 cobo mbok list apa programe ganjar min,NON_HATE
36,36,ganjar suka bokep minim prestasi walaupun sudah 2 periode beda sama pak anies,HATE
37,37,survei indikator politik elektabilitas prabowo 38 persen ganjar 34 2 persen dan anies 18 9 persen,HATE
38,38,prestasi pak anies formule e dulu yang caci maki sekarang puji puji sama dukung ganjar mulut mu bau mas bukti bahwa dukung ganjarist gerombol otak kerdil malu,HATE
39,39,orang pimpin harus tunjuk wajah asli bukan topeng video ganjar pranowo dapat belangkon khas cirebon bagai tanda terima bagai masyarakat cirebon,NON_HATE
40,40,ayo menang ganjar untuk maju bangsa,HATE
41,41,calon presiden partai demokrasi indonesia juang ganti ganjar mantap,HATE
42,42,tak mau aku nek gabung play station r1 gp r2 mau aku pokok e tak mau pilih ganjar,NON_HATE
43,43,halo pak ganjar selamat pagi sudah lari mana lagi pak apa masih di jaka a kayak betah sekali ya jogging di jakarta terus ngomong ngomong bapak cocok lah jadi gubernur daerah khusus ibukota kalau untuk ri 1 kayak belum sih pak orang rakyat tahun bapak cuma lari2 dan rawan sibuk bagi bagi sembako,NON_HATE
44,44,singkat kata sosial capital ini kuat partai demokrasi indonesia juang benar ganjar pranowo pernah singgung tentang sosial capital partai demokrasi indonesia juang,HATE
45,45,calon calon presiden partai demokrasi indonesia juang ganti ganjar mantap muda cerdas kreatif inovatif,HATE
46,46,dendam sama jokowi karena di pecat dan dendam sama ganjar karena kalah pilih gubernur jawa tengah lihat dari dua kasus itu nyata tingkat dendam anda sangat tinggi untung dia orang tidak ada apa apa,NON_HATE
47,47,teknik tarik kuas yang laku oleh ganjar pranowo tunjuk bahwa ia adalah orang yang gesit,NON_HATE
48,48,dari hobi had duta bokep itu prestasi ganjar,HATE
49,49,anies unggul mana mask 2 ganjar pranowo doang nanti ada yang amuk,HATE
50,50,miduk ganjar adalah kita ganjar saya senang tonton bokep miduk kita senang tonton bokep,HATE
51,51,ganjar sama ky jokowi spikingnya medhoogg,HATE
52,52,mugo2 hasil maksud pak ganjar amin,NON_HATE
53,53,ganjar siji ganjar semua,HATE
54,54,bila gagal yapres suara dukung ganjar ke prabowo enak saja anies gagal gye golput,HATE
55,55,hasil prestasi kerja pak anies yang dulu mereka caci sekarang gerombol ganjar jilat ludah sendiri hai amit amit,HATE
56,56,spil prestasi ganjar dong kayak selain marathon antar kota dan antar provinsi,NON_HATE
57,57,aku promo dan akan pilih ganjar tetapi aku psi bukan partai demokrasi indonesia juang,NON_HATE
58,58,jadi begini saat ini sudah pasuk mana rakyat dan warganet untuk cawe2 jaga jago masing masing dukung anies sila bela anies dukung ganjar sila bela ganjar dukung prabowo sila bela prabowo asal jangan presiden saja yang cawe2 terlalu risiko,HATE
59,59,eh bokep tiap hari kamu lintas di lini masa gue bicara anies mulu dengan tidak fair kamu kasih tau terus prestasi ganjar biar orang pilih ganjar gue orang jaka a dan tau betul era pimpin anies jadi makin kamu fitnah anies makin tidak suka gue lihat ganjar karena kamu,NON_HATE
60,60,atur tampilin gambar megawati lagi sodor ganjar oleh 9 naga dan para bohir2 liberalis dengan bawa duit gepok belah kanan belah kiri bawa pistol,NON_HATE
